source_ip,dest_ip,source_port,dest_port,protocol,timestamp,bytes_transferred,packets_sent,label
192.168.61.137,10.0.239.109,12741,934,UDP,2023-10-10 13:21:33.194710,4632,53,0
192.168.241.105,10.0.37.52,64062,28,TCP,2023-10-10 13:09:48.200717,38992,18,1
192.168.198.228,10.0.13.61,40856,44,TCP,2023-10-10 13:05:32.207303,45553,71,1
192.168.98.211,10.0.247.128,9166,590,TCP,2023-10-10 13:24:06.213387,3870,41,0
192.168.95.188,10.0.170.88,11195,571,ICMP,2023-10-10 13:12:06.220550,12698,69,1
192.168.188.62,10.0.39.93,5858,563,ICMP,2023-10-10 13:51:11.228165,3273,87,0
192.168.244.217,10.0.149.67,21849,713,UDP,2023-10-10 13:17:14.234807,8291,54,0
192.168.5.23,10.0.84.13,26574,663,TCP,2023-10-10 13:44:04.240453,570,35,0
192.168.166.66,10.0.170.101,11728,579,UDP,2023-10-10 13:07:37.246214,8863,11,0
192.168.15.124,10.0.204.165,1779,459,ICMP,2023-10-10 13:36:55.252421,6092,24,0
192.168.167.253,10.0.43.67,40305,252,TCP,2023-10-10 13:35:15.258083,1069,30,0
192.168.189.44,10.0.56.166,40696,12,UDP,2023-10-10 13:47:11.263919,7031,45,0
192.168.245.46,10.0.253.54,22262,461,TCP,2023-10-10 13:20:18.269903,1707,32,0
192.168.39.87,10.0.57.166,17995,123,ICMP,2023-10-10 13:50:09.275639,9026,40,0
192.168.250.248,10.0.229.77,16770,989,ICMP,2023-10-10 13:14:06.281139,8382,45,0
192.168.33.199,10.0.190.214,22740,669,TCP,2023-10-10 13:04:17.286646,27,69,0
192.168.140.218,10.0.157.134,40924,29,TCP,2023-10-10 13:49:36.292149,281,46,0
192.168.242.243,10.0.51.108,54167,201,TCP,2023-10-10 13:46:59.297673,7109,90,0
192.168.68.55,10.0.70.50,42410,604,UDP,2023-10-10 13:15:14.303139,9141,55,0
192.168.61.223,10.0.32.121,2060,151,UDP,2023-10-10 13:15:18.308660,8810,39,0
192.168.253.229,10.0.125.107,9782,434,UDP,2023-10-10 13:21:26.314254,827,68,0
192.168.22.148,10.0.139.202,53884,862,ICMP,2023-10-10 13:43:12.319700,7520,61,0
192.168.196.179,10.0.143.141,34015,212,ICMP,2023-10-10 13:52:26.325190,5913,1,0
192.168.236.83,10.0.60.165,18777,983,TCP,2023-10-10 13:23:09.330724,6058,8,0
192.168.133.215,10.0.197.67,2932,18,ICMP,2023-10-10 13:28:53.336348,5032,72,0
192.168.112.36,10.0.2.131,29501,774,TCP,2023-10-10 13:23:04.341847,4372,59,0
192.168.162.30,10.0.149.195,54367,572,TCP,2023-10-10 13:24:29.347366,9857,82,0
192.168.59.91,10.0.51.31,32709,420,ICMP,2023-10-10 13:50:16.353204,5046,17,0
192.168.176.145,10.0.220.73,32997,209,ICMP,2023-10-10 13:09:37.358658,48946,72,1
192.168.157.101,10.0.3.132,53162,992,UDP,2023-10-10 13:09:24.364227,8233,60,0
192.168.231.215,10.0.127.83,29339,404,TCP,2023-10-10 13:26:42.369732,8450,90,0
192.168.103.222,10.0.229.149,42823,500,UDP,2023-10-10 13:04:04.375211,6688,17,0
192.168.254.201,10.0.176.243,28019,370,UDP,2023-10-10 13:23:48.380714,2055,10,0
192.168.200.49,10.0.103.151,30763,74,UDP,2023-10-10 13:47:59.386170,26346,59,1
192.168.53.105,10.0.3.92,51597,15,TCP,2023-10-10 13:45:24.391740,7237,70,0
192.168.251.20,10.0.8.191,58994,126,UDP,2023-10-10 13:20:28.397272,5801,48,0
192.168.223.197,10.0.197.91,16703,254,UDP,2023-10-10 13:41:02.402782,1755,23,0
192.168.234.10,10.0.61.13,33950,164,ICMP,2023-10-10 13:30:27.408557,6880,29,0
192.168.174.15,10.0.233.158,63934,70,TCP,2023-10-10 13:47:05.414413,8110,50,0
192.168.155.40,10.0.110.67,26543,490,ICMP,2023-10-10 13:49:44.420090,8764,40,0
192.168.172.212,10.0.213.111,51625,153,UDP,2023-10-10 13:52:08.425791,4626,30,0
192.168.212.213,10.0.132.106,39813,429,ICMP,2023-10-10 13:14:09.431323,1390,49,0
192.168.121.127,10.0.146.5,11689,304,UDP,2023-10-10 13:01:46.437240,2042,26,0
192.168.93.16,10.0.4.216,32574,195,TCP,2023-10-10 13:30:17.443116,6624,47,0
192.168.34.213,10.0.3.203,15659,273,UDP,2023-10-10 13:55:35.449018,537,40,0
192.168.14.232,10.0.219.163,59667,541,ICMP,2023-10-10 13:31:31.454707,1000,4,0
192.168.129.35,10.0.85.64,3112,888,ICMP,2023-10-10 13:38:22.460181,7467,32,0
192.168.43.239,10.0.92.47,3497,972,TCP,2023-10-10 13:10:09.465655,1752,92,0
192.168.195.185,10.0.135.213,49387,435,TCP,2023-10-10 13:29:33.471283,26423,27,1
192.168.52.114,10.0.229.157,21415,637,UDP,2023-10-10 13:55:14.476723,2139,44,0
192.168.25.157,10.0.112.31,49318,682,ICMP,2023-10-10 13:05:59.482202,7760,33,0
192.168.251.60,10.0.120.183,12844,708,TCP,2023-10-10 13:33:52.487790,2851,98,0
192.168.243.31,10.0.100.207,34728,259,UDP,2023-10-10 13:53:39.493261,2923,30,0
192.168.182.216,10.0.239.135,59812,582,UDP,2023-10-10 13:55:55.498724,342,69,0
192.168.108.158,10.0.97.55,1982,703,TCP,2023-10-10 13:04:03.504156,2045,44,0
192.168.4.120,10.0.228.208,44374,688,UDP,2023-10-10 13:18:33.509831,4361,40,0
192.168.173.10,10.0.253.20,1132,246,TCP,2023-10-10 13:05:43.515372,8726,43,0
192.168.98.25,10.0.100.210,36016,181,UDP,2023-10-10 13:10:06.520861,5225,86,0
192.168.57.90,10.0.162.7,49859,300,UDP,2023-10-10 13:04:44.526347,6205,84,0
192.168.69.39,10.0.90.4,40621,964,UDP,2023-10-10 13:03:03.531878,429,42,0
192.168.156.81,10.0.113.131,47124,123,ICMP,2023-10-10 13:28:45.537350,4263,67,0
192.168.39.168,10.0.58.88,64279,742,UDP,2023-10-10 13:52:44.542800,2750,80,0
192.168.9.241,10.0.141.8,50891,167,UDP,2023-10-10 13:13:19.548448,5042,38,0
192.168.233.115,10.0.211.141,23319,552,ICMP,2023-10-10 13:01:45.553865,8385,45,0
192.168.169.6,10.0.174.66,65402,426,ICMP,2023-10-10 13:35:03.559294,5325,28,0
192.168.218.116,10.0.229.157,29589,651,UDP,2023-10-10 13:28:30.564707,1927,64,0
192.168.74.134,10.0.62.179,40155,1016,TCP,2023-10-10 13:10:42.570146,4682,51,0
192.168.76.14,10.0.43.170,63048,136,ICMP,2023-10-10 13:42:06.575761,7709,72,0
192.168.253.28,10.0.184.133,2360,923,TCP,2023-10-10 13:26:38.581278,1686,49,0
192.168.11.232,10.0.28.79,52666,719,ICMP,2023-10-10 13:03:49.586866,7817,9,0
192.168.64.207,10.0.121.229,46462,930,TCP,2023-10-10 13:25:23.592669,822,18,0
192.168.64.225,10.0.125.139,39972,300,ICMP,2023-10-10 13:57:34.598254,7676,26,0
192.168.218.64,10.0.154.61,49866,678,TCP,2023-10-10 13:25:46.603727,6651,80,0
192.168.181.13,10.0.232.147,2501,555,ICMP,2023-10-10 13:07:50.609268,2678,20,0
192.168.5.208,10.0.54.199,39810,499,ICMP,2023-10-10 13:44:12.614760,5318,55,0
192.168.106.19,10.0.61.73,3269,239,UDP,2023-10-10 13:18:38.620777,286,70,0
192.168.235.135,10.0.150.177,44570,398,ICMP,2023-10-10 13:09:40.626635,3106,10,0
192.168.145.171,10.0.56.193,31465,762,UDP,2023-10-10 13:41:32.632059,2753,5,0
192.168.120.183,10.0.198.155,56993,739,ICMP,2023-10-10 13:19:07.638290,7644,26,0
192.168.138.212,10.0.79.197,10714,380,TCP,2023-10-10 13:43:53.644133,1285,89,0
192.168.11.122,10.0.170.68,20806,24,ICMP,2023-10-10 13:24:24.650429,10,23,0
192.168.99.181,10.0.181.243,31694,938,ICMP,2023-10-10 13:07:42.656043,1631,66,0
192.168.7.119,10.0.156.102,31853,779,TCP,2023-10-10 13:40:17.661564,1948,58,0
192.168.59.172,10.0.22.62,62550,145,TCP,2023-10-10 13:28:18.667170,5231,74,0
192.168.183.109,10.0.124.202,62452,134,ICMP,2023-10-10 13:51:09.672611,7223,18,0
192.168.124.76,10.0.46.56,39145,612,ICMP,2023-10-10 13:07:40.678035,4585,76,0
192.168.136.61,10.0.199.134,37583,967,ICMP,2023-10-10 13:08:48.683457,8975,40,0
192.168.51.126,10.0.235.4,8447,138,TCP,2023-10-10 13:25:19.688876,4117,86,0
192.168.193.106,10.0.13.184,60187,143,ICMP,2023-10-10 13:41:04.694290,3393,66,0
192.168.6.64,10.0.108.229,33968,362,UDP,2023-10-10 13:17:45.699713,41169,14,1
192.168.253.210,10.0.104.104,29073,782,TCP,2023-10-10 13:09:31.705299,8269,84,0
192.168.83.149,10.0.169.143,10528,214,TCP,2023-10-10 13:23:21.710927,5285,61,0
192.168.226.87,10.0.27.46,61528,540,TCP,2023-10-10 13:05:10.716427,5622,90,0
192.168.203.161,10.0.61.246,50940,1013,TCP,2023-10-10 13:15:32.721894,5775,50,0
192.168.143.44,10.0.69.82,25603,132,TCP,2023-10-10 13:33:55.727368,2895,18,0
192.168.140.36,10.0.39.50,13011,11,UDP,2023-10-10 13:01:25.732852,8773,93,0
192.168.219.127,10.0.109.17,42277,3,ICMP,2023-10-10 13:34:24.738362,3667,2,0
192.168.223.226,10.0.235.176,17821,459,TCP,2023-10-10 13:11:22.743995,3384,61,0
192.168.8.237,10.0.168.65,61273,903,ICMP,2023-10-10 13:45:12.749447,3681,24,0
192.168.100.51,10.0.90.110,24021,80,UDP,2023-10-10 13:31:52.754880,1879,8,0
192.168.161.203,10.0.234.136,53611,594,UDP,2023-10-10 13:00:34.760351,5955,97,0
192.168.39.34,10.0.4.121,21553,393,UDP,2023-10-10 13:15:45.765863,202,90,0
192.168.136.127,10.0.67.235,52041,917,TCP,2023-10-10 13:04:06.771470,6207,100,0
192.168.193.81,10.0.40.230,58624,1022,TCP,2023-10-10 13:30:21.776994,7266,41,0
192.168.107.211,10.0.136.17,53082,846,ICMP,2023-10-10 13:30:46.782502,8085,31,0
192.168.55.180,10.0.125.219,57994,287,TCP,2023-10-10 13:41:01.787970,1313,93,0
192.168.189.29,10.0.215.11,43289,1017,TCP,2023-10-10 13:19:22.793445,6178,9,0
192.168.166.224,10.0.156.10,17989,153,TCP,2023-10-10 13:34:59.798942,7417,37,0
192.168.241.41,10.0.152.17,50450,222,ICMP,2023-10-10 13:38:10.804462,5985,73,0
192.168.19.30,10.0.168.157,40807,146,UDP,2023-10-10 13:22:56.809931,2283,96,0
192.168.16.166,10.0.172.90,23586,881,ICMP,2023-10-10 13:18:01.815393,4247,80,0
192.168.16.88,10.0.92.47,34576,349,UDP,2023-10-10 13:14:38.821013,9263,63,0
192.168.161.218,10.0.128.199,16296,924,ICMP,2023-10-10 13:45:03.827180,5004,98,0
192.168.65.57,10.0.59.44,22536,92,UDP,2023-10-10 13:24:43.832711,1986,39,0
192.168.69.22,10.0.66.237,55521,134,UDP,2023-10-10 13:48:02.838528,3264,75,0
192.168.150.120,10.0.98.148,23562,472,TCP,2023-10-10 13:40:37.844247,45394,37,1
192.168.204.234,10.0.127.85,20996,923,TCP,2023-10-10 13:51:34.850022,9103,36,0
192.168.209.80,10.0.97.23,1336,512,TCP,2023-10-10 13:16:52.855508,3395,44,0
192.168.137.154,10.0.207.71,50636,974,UDP,2023-10-10 13:45:50.861127,3537,79,0
192.168.188.5,10.0.206.190,24532,981,ICMP,2023-10-10 13:43:07.866544,1175,58,0
192.168.167.195,10.0.203.134,24743,981,ICMP,2023-10-10 13:06:27.872010,4272,60,0
192.168.73.215,10.0.19.138,52486,279,TCP,2023-10-10 13:34:04.877619,2894,13,0
192.168.118.174,10.0.4.2,30861,538,TCP,2023-10-10 13:20:07.882981,3302,95,0
192.168.61.75,10.0.81.32,53791,1005,TCP,2023-10-10 13:28:03.888467,9363,94,0
192.168.86.140,10.0.6.195,64354,949,TCP,2023-10-10 13:18:49.893932,39834,2,1
192.168.134.144,10.0.141.126,21298,569,ICMP,2023-10-10 13:09:22.899500,1119,68,0
192.168.152.114,10.0.205.73,20491,1020,TCP,2023-10-10 13:51:19.904944,4939,91,0
192.168.195.1,10.0.103.109,22033,982,ICMP,2023-10-10 13:02:13.910462,1854,57,0
192.168.244.198,10.0.153.100,56902,383,UDP,2023-10-10 13:47:35.915923,42084,81,1
192.168.177.22,10.0.163.119,44908,913,TCP,2023-10-10 13:29:22.921370,4377,14,0
192.168.225.209,10.0.45.216,35215,985,TCP,2023-10-10 13:52:07.926833,382,13,0
192.168.177.251,10.0.19.217,17254,881,UDP,2023-10-10 13:26:29.932355,2684,29,0
192.168.19.126,10.0.170.185,12099,387,ICMP,2023-10-10 13:39:05.938002,7293,44,0
192.168.103.196,10.0.161.45,64475,360,ICMP,2023-10-10 13:42:39.943586,8414,20,0
192.168.101.143,10.0.217.90,42189,424,TCP,2023-10-10 13:26:38.949011,9282,45,0
192.168.185.110,10.0.218.18,2026,515,ICMP,2023-10-10 13:03:50.954526,894,40,0
192.168.234.134,10.0.141.130,28401,614,ICMP,2023-10-10 13:49:20.960001,8279,91,0
192.168.249.28,10.0.192.250,32268,527,UDP,2023-10-10 13:47:07.965538,784,91,0
192.168.51.119,10.0.181.82,32356,519,TCP,2023-10-10 13:06:48.971154,9377,77,0
192.168.230.102,10.0.18.160,39187,989,ICMP,2023-10-10 13:39:48.976685,3340,17,0
192.168.15.241,10.0.99.99,56701,704,UDP,2023-10-10 13:13:50.982280,5294,95,0
192.168.54.197,10.0.147.107,23455,598,ICMP,2023-10-10 13:26:00.987618,22247,60,1
192.168.54.88,10.0.239.137,51982,622,UDP,2023-10-10 13:40:15.993039,4016,9,0
192.168.242.39,10.0.143.127,36946,935,TCP,2023-10-10 13:28:55.998544,7288,31,0
192.168.205.189,10.0.23.224,4160,25,UDP,2023-10-10 13:14:45.004010,26378,4,1
192.168.90.187,10.0.243.169,55548,859,UDP,2023-10-10 13:36:47.009436,2693,3,0
192.168.231.192,10.0.189.44,62333,248,UDP,2023-10-10 13:36:15.015014,3308,60,0
192.168.23.52,10.0.94.228,38460,258,UDP,2023-10-10 13:04:46.020455,5622,23,0
192.168.244.248,10.0.28.49,49114,777,ICMP,2023-10-10 13:38:43.025963,9369,69,0
192.168.70.53,10.0.80.225,52413,220,UDP,2023-10-10 13:01:51.032096,1203,95,0
192.168.58.246,10.0.142.121,16094,52,TCP,2023-10-10 13:01:56.037956,2125,11,0
192.168.56.118,10.0.212.13,28270,318,UDP,2023-10-10 13:56:11.043360,1167,74,0
192.168.74.227,10.0.71.108,47983,779,TCP,2023-10-10 13:38:52.048845,9784,37,0
192.168.142.18,10.0.19.13,41313,684,TCP,2023-10-10 13:52:33.055067,7855,11,0
192.168.241.218,10.0.110.230,3763,665,UDP,2023-10-10 13:12:10.060894,2570,68,0
192.168.55.225,10.0.14.117,14477,359,TCP,2023-10-10 13:47:03.067014,7558,94,0
192.168.252.42,10.0.131.144,44269,927,ICMP,2023-10-10 13:00:05.072692,4487,92,0
192.168.225.79,10.0.232.42,28145,647,ICMP,2023-10-10 13:52:03.078272,2095,7,0
192.168.235.180,10.0.193.133,24800,164,ICMP,2023-10-10 13:22:58.083817,3150,83,0
192.168.165.126,10.0.40.12,33784,256,UDP,2023-10-10 13:47:26.089347,6217,55,0
192.168.17.102,10.0.150.235,10312,457,ICMP,2023-10-10 13:30:12.095151,1610,89,0
192.168.30.204,10.0.245.85,36125,934,UDP,2023-10-10 13:19:12.100769,2977,90,0
192.168.180.233,10.0.249.158,35847,557,ICMP,2023-10-10 13:19:10.106225,8309,39,0
192.168.202.224,10.0.66.19,27596,893,UDP,2023-10-10 13:51:43.111896,3265,61,0
192.168.12.253,10.0.125.149,27138,140,TCP,2023-10-10 13:01:35.117415,4310,74,0
192.168.31.45,10.0.196.166,14152,422,TCP,2023-10-10 13:56:41.122979,3075,58,0
192.168.215.37,10.0.4.45,48584,577,ICMP,2023-10-10 13:04:06.128402,3401,33,0
192.168.251.41,10.0.142.129,17324,843,TCP,2023-10-10 13:54:56.134048,9598,17,0
192.168.51.239,10.0.90.43,36957,469,ICMP,2023-10-10 13:28:28.139507,1580,9,0
192.168.177.172,10.0.203.68,60484,714,UDP,2023-10-10 13:14:07.144922,4779,85,0
192.168.102.251,10.0.201.136,19487,204,UDP,2023-10-10 13:01:35.150372,8283,50,0
192.168.128.136,10.0.165.152,43849,189,ICMP,2023-10-10 13:21:21.155868,6933,88,0
192.168.141.202,10.0.8.247,59138,895,ICMP,2023-10-10 13:20:21.161403,441,31,0
192.168.23.121,10.0.5.96,5438,43,ICMP,2023-10-10 13:30:59.166933,2712,31,0
192.168.126.31,10.0.228.76,30440,138,UDP,2023-10-10 13:43:07.172584,5254,94,0
192.168.156.117,10.0.102.39,30113,340,TCP,2023-10-10 13:25:06.178053,3748,95,0
192.168.145.37,10.0.82.154,15760,743,UDP,2023-10-10 13:49:54.183508,23890,3,1
192.168.45.19,10.0.6.188,53340,467,UDP,2023-10-10 13:38:46.189057,5348,96,0
192.168.203.64,10.0.162.82,52486,912,TCP,2023-10-10 13:34:05.194570,1678,59,0
192.168.107.168,10.0.205.4,2492,192,ICMP,2023-10-10 13:49:49.200126,8036,60,0
192.168.62.225,10.0.198.178,8797,499,UDP,2023-10-10 13:15:38.205748,1869,91,0
192.168.247.62,10.0.145.111,62548,308,UDP,2023-10-10 13:13:20.211257,9234,80,0
192.168.156.101,10.0.81.26,27206,187,TCP,2023-10-10 13:42:15.216733,1385,86,0
192.168.154.235,10.0.248.101,32740,187,ICMP,2023-10-10 13:21:54.222254,7091,24,0
192.168.201.217,10.0.233.54,46019,954,UDP,2023-10-10 13:11:19.227689,8019,64,0
192.168.168.127,10.0.40.31,38913,521,TCP,2023-10-10 13:44:51.233189,903,94,0
192.168.216.34,10.0.48.25,32482,648,ICMP,2023-10-10 13:53:52.239263,7748,97,0
192.168.56.1,10.0.161.201,4123,669,TCP,2023-10-10 13:06:53.244917,6845,48,0
192.168.42.230,10.0.188.172,56464,645,UDP,2023-10-10 13:47:49.250570,5637,92,0
192.168.146.25,10.0.62.207,5394,944,UDP,2023-10-10 13:48:14.256844,6317,27,0
192.168.166.172,10.0.46.10,34271,402,TCP,2023-10-10 13:38:44.262849,1735,99,0
192.168.1.77,10.0.128.147,43607,206,TCP,2023-10-10 13:29:22.268853,6854,60,0
192.168.157.6,10.0.217.4,49530,22,ICMP,2023-10-10 13:58:04.274391,2828,81,0
192.168.142.139,10.0.89.84,39510,767,UDP,2023-10-10 13:54:16.279968,49295,57,1
192.168.82.62,10.0.114.102,53338,707,UDP,2023-10-10 13:44:43.285510,7337,5,0
192.168.143.24,10.0.95.5,42474,371,TCP,2023-10-10 13:29:47.291098,2953,14,0
192.168.138.31,10.0.188.223,18189,313,TCP,2023-10-10 13:53:28.296577,3423,60,0
192.168.181.30,10.0.14.174,22977,810,UDP,2023-10-10 13:37:56.302078,1902,90,0
192.168.230.170,10.0.241.12,5406,387,UDP,2023-10-10 13:12:06.307497,9937,44,0
192.168.228.149,10.0.229.137,22527,288,TCP,2023-10-10 13:57:11.312987,44,99,0
192.168.110.225,10.0.87.100,34600,621,TCP,2023-10-10 13:44:34.318624,1953,5,0
192.168.33.209,10.0.210.19,37534,552,ICMP,2023-10-10 13:28:20.324119,9348,43,0
192.168.211.35,10.0.200.138,28492,978,UDP,2023-10-10 12:59:15.329792,9059,43,0
192.168.139.98,10.0.133.166,57334,304,ICMP,2023-10-10 13:45:43.335284,5345,26,0
192.168.166.3,10.0.175.215,2853,767,UDP,2023-10-10 13:09:24.340735,1999,62,0
192.168.27.2,10.0.156.162,60940,503,UDP,2023-10-10 13:33:41.346157,7604,44,0
192.168.168.155,10.0.246.67,14350,131,TCP,2023-10-10 13:40:56.351603,3584,88,0
192.168.75.217,10.0.14.104,16054,964,TCP,2023-10-10 13:35:22.357086,3569,38,0
192.168.81.120,10.0.165.22,3927,649,ICMP,2023-10-10 13:00:19.362613,33732,97,1
192.168.88.14,10.0.22.63,23937,1006,ICMP,2023-10-10 13:36:03.368295,5818,15,0
192.168.142.121,10.0.143.227,23941,400,ICMP,2023-10-10 13:10:44.373710,1890,30,0
192.168.53.207,10.0.131.92,38624,369,UDP,2023-10-10 13:43:45.379173,8777,50,0
192.168.196.136,10.0.30.66,30547,621,ICMP,2023-10-10 13:42:49.384784,5400,95,0
192.168.150.221,10.0.20.197,29963,954,TCP,2023-10-10 13:27:05.390225,7735,66,0
192.168.151.190,10.0.103.74,46128,923,TCP,2023-10-10 13:57:43.395695,6022,88,0
192.168.119.80,10.0.10.6,49589,373,TCP,2023-10-10 13:30:32.401206,3858,85,0
192.168.60.77,10.0.236.146,33958,671,UDP,2023-10-10 13:16:41.406871,7750,96,0
192.168.27.29,10.0.67.208,34231,381,ICMP,2023-10-10 13:24:03.412351,3530,61,0
192.168.236.62,10.0.150.212,58986,255,ICMP,2023-10-10 13:23:31.417763,6356,48,0
192.168.182.40,10.0.55.75,41633,640,ICMP,2023-10-10 13:27:31.423238,4092,76,0
192.168.8.199,10.0.78.138,6807,444,TCP,2023-10-10 13:43:59.428678,5698,8,0
192.168.94.79,10.0.56.61,43064,901,TCP,2023-10-10 13:03:25.434074,6058,55,0
192.168.240.217,10.0.149.148,24778,455,ICMP,2023-10-10 13:23:55.439554,13656,71,1
192.168.232.190,10.0.85.41,35724,31,UDP,2023-10-10 13:33:04.445770,42075,5,1
192.168.8.99,10.0.83.33,32577,502,TCP,2023-10-10 13:57:16.451485,9484,30,0
192.168.27.72,10.0.163.105,9755,160,UDP,2023-10-10 13:35:05.457370,1899,71,0
192.168.90.85,10.0.1.76,36962,740,ICMP,2023-10-10 13:18:53.463294,723,5,0
192.168.229.168,10.0.252.127,56146,692,TCP,2023-10-10 13:29:51.469182,8033,21,0
192.168.175.38,10.0.105.215,7139,822,TCP,2023-10-10 13:56:02.474715,6885,60,0
192.168.134.132,10.0.82.204,15823,104,ICMP,2023-10-10 13:25:29.480268,4613,86,0
192.168.235.108,10.0.244.81,57738,648,ICMP,2023-10-10 13:25:05.485954,3731,63,0
192.168.190.239,10.0.149.115,43331,10,UDP,2023-10-10 13:22:59.491369,6969,82,0
192.168.112.1,10.0.168.38,12439,750,TCP,2023-10-10 13:40:02.496822,2988,71,0
192.168.218.92,10.0.116.225,25579,413,TCP,2023-10-10 13:39:39.502439,1883,65,0
192.168.127.208,10.0.2.50,51961,328,TCP,2023-10-10 13:50:27.508016,9947,72,0
192.168.72.151,10.0.14.23,37589,817,ICMP,2023-10-10 13:33:41.513476,5152,4,0
192.168.168.173,10.0.120.39,21668,8,UDP,2023-10-10 13:10:05.519021,2432,19,0
192.168.150.224,10.0.64.92,28227,86,ICMP,2023-10-10 13:14:16.524682,5115,5,0
192.168.36.219,10.0.154.233,11608,593,UDP,2023-10-10 12:59:45.530193,225,95,0
192.168.86.95,10.0.60.158,15241,791,ICMP,2023-10-10 13:25:19.535745,9743,73,0
192.168.60.104,10.0.252.99,62237,352,UDP,2023-10-10 13:40:59.541196,6181,16,0
192.168.237.4,10.0.191.178,49440,1014,UDP,2023-10-10 13:06:20.546638,6557,2,0
192.168.227.224,10.0.198.38,44205,76,UDP,2023-10-10 13:17:46.552099,5663,81,0
192.168.79.106,10.0.73.198,12522,376,ICMP,2023-10-10 13:12:58.557539,9958,84,0
192.168.39.41,10.0.6.245,23813,658,UDP,2023-10-10 13:53:28.563166,3052,94,0
192.168.245.23,10.0.203.80,33162,537,TCP,2023-10-10 13:51:29.568644,7037,54,0
192.168.159.200,10.0.115.24,64225,665,TCP,2023-10-10 13:15:36.574123,70,46,0
192.168.214.139,10.0.143.96,38913,375,TCP,2023-10-10 13:01:33.579576,7348,2,0
192.168.142.224,10.0.252.73,5677,863,ICMP,2023-10-10 13:42:22.585045,7158,88,0
192.168.132.82,10.0.204.194,47952,457,ICMP,2023-10-10 13:13:12.590584,9500,46,0
192.168.23.247,10.0.193.107,7035,998,UDP,2023-10-10 13:51:00.596125,47474,89,1
192.168.175.141,10.0.80.144,31996,790,UDP,2023-10-10 13:23:29.601652,7931,69,0
192.168.131.151,10.0.164.241,17079,928,UDP,2023-10-10 13:01:59.607346,8856,57,0
192.168.227.114,10.0.132.17,20122,747,UDP,2023-10-10 13:36:42.612907,3495,35,0
